ProjectID,BuildingID,Location,RoofType,SolarCapacityKW,GreenAreaSqM,InstallationCost,EnergySavedUnits,CarbonReductionKg
1,B001,Zone_A,Residential,5,40,120000,720,180
2,B002,Zone_A,Commercial,10,60,220000,1400,360
3,B003,Zone_A,Residential,3,35,90000,450,120
4,B004,Zone_A,Commercial,15,80,300000,2100,520
5,B005,Zone_A,Residential,4,45,110000,600,150
6,B006,Zone_B,Commercial,12,70,260000,1750,430
7,B007,Zone_B,Residential,6,50,140000,820,200
8,B008,Zone_B,Commercial,20,100,380000,2800,720
9,B009,Zone_B,Residential,5,48,125000,760,190
10,B010,Zone_B,Commercial,18,90,350000,2500,650
11,B011,Zone_C,Residential,4,42,105000,610,160
12,B012,Zone_C,Commercial,14,75,290000,1950,480
13,B013,Zone_C,Residential,6,55,150000,860,210
14,B014,Zone_C,Commercial,22,110,410000,3100,780
15,B015,Zone_C,Residential,3,30,85000,420,105
16,B016,Zone_D,Commercial,16,85,320000,2300,560
17,B017,Zone_D,Residential,5,46,120000,740,185
18,B018,Zone_D,Commercial,25,120,460000,3500,900
19,B019,Zone_D,Residential,7,60,165000,980,240
20,B020,Zone_D,Commercial,19,95,370000,2700,690
21,B021,Zone_E,Residential,4,40,100000,580,150
22,B022,Zone_E,Commercial,13,70,275000,1850,460
23,B023,Zone_E,Residential,6,52,145000,830,205
24,B024,Zone_E,Commercial,21,105,400000,3000,760
25,B025,Zone_E,Residential,5,45,118000,720,180
26,B026,Zone_F,Commercial,17,88,335000,2400,590
27,B027,Zone_F,Residential,4,38,98000,560,140
28,B028,Zone_F,Commercial,23,115,430000,3300,840
29,B029,Zone_F,Residential,6,54,148000,850,215
30,B030,Zone_F,Commercial,20,100,390000,2900,740
31,B031,Zone_G,Residential,3,32,88000,430,110
32,B032,Zone_G,Commercial,15,80,305000,2150,530
33,B033,Zone_G,Residential,5,44,115000,700,175
34,B034,Zone_G,Commercial,24,118,450000,3400,870
35,B035,Zone_G,Residential,7,62,170000,1020,255
36,B036,Zone_H,Commercial,18,92,360000,2600,670
37,B037,Zone_H,Residential,4,36,95000,540,135
38,B038,Zone_H,Commercial,26,125,480000,3700,940
39,B039,Zone_H,Residential,6,56,152000,880,220
40,B040,Zone_H,Commercial,21,108,405000,3050,770
41,B041,Zone_I,Residential,5,47,122000,750,185
42,B042,Zone_I,Commercial,14,74,285000,1900,470
43,B043,Zone_I,Residential,3,33,90000,440,115
44,B044,Zone_I,Commercial,22,112,420000,3150,800
45,B045,Zone_I,Residential,6,53,147000,840,210
46,B046,Zone_J,Commercial,16,86,325000,2350,575
47,B047,Zone_J,Residential,4,39,99000,565,145
48,B048,Zone_J,Commercial,25,120,465000,3550,910
49,B049,Zone_J,Residential,7,61,168000,1000,250
50,B050,Zone_J,Commercial,19,97,375000,2750,700
51,B051,Zone_A,Residential,5,45,120000,730,182
52,B052,Zone_A,Commercial,12,68,255000,1700,420
53,B053,Zone_A,Residential,4,41,108000,590,148
54,B054,Zone_A,Commercial,20,102,395000,2950,750
55,B055,Zone_A,Residential,6,54,150000,860,215
56,B056,Zone_B,Commercial,17,90,340000,2450,600
57,B057,Zone_B,Residential,5,46,122000,750,185
58,B058,Zone_B,Commercial,23,116,435000,3350,850
59,B059,Zone_B,Residential,7,63,172000,1040,260
60,B060,Zone_B,Commercial,21,108,405000,3050,770
61,B061,Zone_C,Residential,4,40,100000,580,150
62,B062,Zone_C,Commercial,15,78,300000,2050,510
63,B063,Zone_C,Residential,6,55,148000,850,212
64,B064,Zone_C,Commercial,24,118,450000,3400,870
65,B065,Zone_C,Residential,3,34,92000,460,118
66,B066,Zone_D,Commercial,18,94,365000,2650,680
67,B067,Zone_D,Residential,5,48,124000,760,188
68,B068,Zone_D,Commercial,26,126,485000,3750,950
69,B069,Zone_D,Residential,7,64,175000,1060,265
70,B070,Zone_D,Commercial,20,100,390000,2900,740
71,B071,Zone_E,Residential,4,42,105000,600,155
72,B072,Zone_E,Commercial,14,76,290000,1950,485
73,B073,Zone_E,Residential,6,56,152000,880,220
74,B074,Zone_E,Commercial,22,110,415000,3100,780
75,B075,Zone_E,Residential,5,45,118000,720,180
76,B076,Zone_F,Commercial,17,88,335000,2400,590
77,B077,Zone_F,Residential,4,38,98000,560,140
78,B078,Zone_F,Commercial,25,122,470000,3600,920
79,B079,Zone_F,Residential,7,65,178000,1080,270
80,B080,Zone_F,Commercial,21,108,405000,3050,770
81,B081,Zone_G,Residential,3,31,87000,420,108
82,B082,Zone_G,Commercial,16,84,315000,2250,550
83,B083,Zone_G,Residential,5,44,115000,700,175
84,B084,Zone_G,Commercial,24,118,450000,3400,870
85,B085,Zone_G,Residential,7,62,170000,1020,255
86,B086,Zone_H,Commercial,18,92,360000,2600,670
87,B087,Zone_H,Residential,4,36,95000,540,135
88,B088,Zone_H,Commercial,26,125,480000,3700,940
89,B089,Zone_H,Residential,6,56,152000,880,220
90,B090,Zone_H,Commercial,21,108,405000,3050,770
91,B091,Zone_I,Residential,5,47,122000,750,185
92,B092,Zone_I,Commercial,14,74,285000,1900,470
93,B093,Zone_I,Residential,3,33,90000,440,115
94,B094,Zone_I,Commercial,22,112,420000,3150,800
95,B095,Zone_I,Residential,6,53,147000,840,210
96,B096,Zone_J,Commercial,16,86,325000,2350,575
97,B097,Zone_J,Residential,4,39,99000,565,145
98,B098,Zone_J,Commercial,25,120,465000,3550,910
99,B099,Zone_J,Residential,7,61,168000,1000,250
100,B100,Zone_J,Commercial,19,97,375000,2750,700
