PetID,PetType,Breed,AgeMonths,Gender,Zone,Status,GPSNode,HealthScore,AdoptionPriority
1,Dog,Labrador,18,M,Zone_A,Available,12,85,3
2,Cat,Persian,10,F,Zone_A,Lost,15,78,4
3,Dog,Beagle,24,M,Zone_A,Adopted,9,88,2
4,Dog,GermanShepherd,30,F,Zone_A,Available,20,90,1
5,Cat,Indian,8,F,Zone_A,Available,11,82,4
6,Dog,Pug,14,M,Zone_B,Lost,18,76,5
7,Dog,GoldenRetriever,20,F,Zone_B,Available,22,91,1
8,Cat,Siamese,12,M,Zone_B,Adopted,14,84,3
9,Dog,Indie,16,F,Zone_B,Available,17,80,4
10,Cat,Indian,6,M,Zone_B,Lost,19,75,5
11,Dog,Labrador,22,M,Zone_C,Available,21,86,2
12,Cat,Persian,9,F,Zone_C,Available,10,83,3
13,Dog,Rottweiler,36,M,Zone_C,Lost,25,79,4
14,Dog,Beagle,18,F,Zone_C,Adopted,13,87,2
15,Cat,Indian,7,F,Zone_C,Available,8,81,4
16,Dog,Pug,12,M,Zone_D,Lost,16,74,5
17,Dog,GoldenRetriever,26,F,Zone_D,Available,24,92,1
18,Cat,Siamese,11,M,Zone_D,Available,14,85,3
19,Dog,Indie,15,F,Zone_D,Adopted,18,83,3
20,Cat,Indian,5,M,Zone_D,Lost,20,73,5
21,Dog,Labrador,19,M,Zone_E,Available,12,86,2
22,Cat,Persian,10,F,Zone_E,Lost,15,78,4
23,Dog,Beagle,23,M,Zone_E,Available,19,85,3
24,Dog,GermanShepherd,34,F,Zone_E,Adopted,27,91,1
25,Cat,Indian,8,F,Zone_E,Available,11,82,4
26,Dog,Pug,13,M,Zone_F,Lost,17,75,5
27,Dog,GoldenRetriever,21,F,Zone_F,Available,23,90,1
28,Cat,Siamese,12,M,Zone_F,Adopted,14,84,3
29,Dog,Indie,17,F,Zone_F,Available,18,81,4
30,Cat,Indian,6,M,Zone_F,Lost,20,74,5
31,Dog,Labrador,20,M,Zone_G,Available,13,87,2
32,Cat,Persian,11,F,Zone_G,Available,16,83,3
33,Dog,Rottweiler,38,M,Zone_G,Lost,26,78,4
34,Dog,Beagle,18,F,Zone_G,Adopted,12,88,2
35,Cat,Indian,7,F,Zone_G,Available,9,82,4
36,Dog,Pug,14,M,Zone_H,Lost,18,75,5
37,Dog,GoldenRetriever,25,F,Zone_H,Available,24,92,1
38,Cat,Siamese,13,M,Zone_H,Available,15,86,3
39,Dog,Indie,16,F,Zone_H,Adopted,19,84,3
40,Cat,Indian,5,M,Zone_H,Lost,21,72,5
41,Dog,Labrador,21,M,Zone_I,Available,14,88,2
42,Cat,Persian,9,F,Zone_I,Lost,17,77,4
43,Dog,Beagle,24,M,Zone_I,Available,20,85,3
44,Dog,GermanShepherd,32,F,Zone_I,Adopted,28,91,1
45,Cat,Indian,8,F,Zone_I,Available,11,82,4
46,Dog,Pug,13,M,Zone_J,Lost,18,74,5
47,Dog,GoldenRetriever,22,F,Zone_J,Available,25,90,1
48,Cat,Siamese,12,M,Zone_J,Adopted,15,84,3
49,Dog,Indie,17,F,Zone_J,Available,19,81,4
50,Cat,Indian,6,M,Zone_J,Lost,21,73,5
51,Dog,Labrador,18,M,Zone_A,Available,12,85,3
52,Cat,Persian,10,F,Zone_A,Available,15,80,4
53,Dog,Beagle,22,M,Zone_A,Lost,18,78,4
54,Dog,GermanShepherd,35,F,Zone_A,Available,26,92,1
55,Cat,Indian,7,F,Zone_A,Adopted,9,83,3
56,Dog,Pug,12,M,Zone_B,Lost,16,74,5
57,Dog,GoldenRetriever,24,F,Zone_B,Available,23,91,1
58,Cat,Siamese,11,M,Zone_B,Available,14,85,3
59,Dog,Indie,16,F,Zone_B,Adopted,18,82,4
60,Cat,Indian,5,M,Zone_B,Lost,20,72,5
61,Dog,Labrador,20,M,Zone_C,Available,13,87,2
62,Cat,Persian,9,F,Zone_C,Available,16,83,3
63,Dog,Rottweiler,37,M,Zone_C,Lost,27,79,4
64,Dog,Beagle,18,F,Zone_C,Adopted,12,88,2
65,Cat,Indian,8,F,Zone_C,Available,10,82,4
66,Dog,Pug,14,M,Zone_D,Lost,17,75,5
67,Dog,GoldenRetriever,26,F,Zone_D,Available,24,92,1
68,Cat,Siamese,12,M,Zone_D,Available,15,85,3
69,Dog,Indie,17,F,Zone_D,Adopted,19,83,3
70,Cat,Indian,6,M,Zone_D,Lost,21,73,5
71,Dog,Labrador,21,M,Zone_E,Available,14,88,2
72,Cat,Persian,10,F,Zone_E,Lost,17,78,4
73,Dog,Beagle,24,M,Zone_E,Available,20,85,3
74,Dog,GermanShepherd,33,F,Zone_E,Adopted,28,91,1
75,Cat,Indian,8,F,Zone_E,Available,11,82,4
76,Dog,Pug,13,M,Zone_F,Lost,18,74,5
77,Dog,GoldenRetriever,23,F,Zone_F,Available,25,90,1
78,Cat,Siamese,12,M,Zone_F,Adopted,15,84,3
79,Dog,Indie,17,F,Zone_F,Available,19,81,4
80,Cat,Indian,6,M,Zone_F,Lost,21,73,5
81,Dog,Labrador,19,M,Zone_G,Available,13,86,2
82,Cat,Persian,11,F,Zone_G,Available,16,83,3
83,Dog,Rottweiler,36,M,Zone_G,Lost,26,78,4
84,Dog,Beagle,18,F,Zone_G,Adopted,12,88,2
85,Cat,Indian,7,F,Zone_G,Available,9,82,4
86,Dog,Pug,14,M,Zone_H,Lost,18,75,5
87,Dog,GoldenRetriever,25,F,Zone_H,Available,24,92,1
88,Cat,Siamese,13,M,Zone_H,Available,15,86,3
89,Dog,Indie,16,F,Zone_H,Adopted,19,84,3
90,Cat,Indian,5,M,Zone_H,Lost,21,72,5
91,Dog,Labrador,21,M,Zone_I,Available,14,88,2
92,Cat,Persian,9,F,Zone_I,Lost,17,77,4
93,Dog,Beagle,24,M,Zone_I,Available,20,85,3
94,Dog,GermanShepherd,32,F,Zone_I,Adopted,28,91,1
95,Cat,Indian,8,F,Zone_I,Available,11,82,4
96,Dog,Pug,13,M,Zone_J,Lost,18,74,5
97,Dog,GoldenRetriever,22,F,Zone_J,Available,25,90,1
98,Cat,Siamese,12,M,Zone_J,Adopted,15,84,3
99,Dog,Indie,17,F,Zone_J,Available,19,81,4
100,Cat,Indian,6,M,Zone_J,Lost,21,73,5
