SensorID,Location,AreaType,AQI,PM2_5,PM10,AlertLevel
P001,MG_Road,Commercial,210,95,180,High
P002,Indiranagar,Residential,145,62,120,Moderate
P003,Whitefield,Industrial,260,130,220,Severe
P004,Yelahanka,Residential,110,45,90,Moderate
P005,KR_Market,Commercial,235,110,200,High
P006,Peenya,Industrial,280,150,240,Severe
P007,Electronic_City,Industrial,265,140,230,Severe
P008,Jayanagar,Residential,125,50,100,Moderate
P009,Malleswaram,Residential,135,55,105,Moderate
P010,Majestic,Commercial,245,115,210,High
P011,BTM,Residential,150,65,125,Moderate
P012,Banashankari,Residential,120,48,95,Moderate
P013,Hebbal,Commercial,225,105,195,High
P014,Airport_Road,Commercial,240,118,205,High
P015,Silk_Board,Traffic,290,160,260,Severe
P016,Nagarbhavi,Residential,130,52,110,Moderate
P017,Rajajinagar,Residential,140,58,115,Moderate
P018,Vijayanagar,Residential,135,56,108,Moderate
P019,Marathahalli,Traffic,275,145,240,Severe
P020,Bellandur,Industrial,285,155,250,Severe
P021,Hosur_Road,Traffic,260,135,225,Severe
P022,RR_Nagar,Residential,115,46,92,Moderate
P023,Kengeri,Residential,118,47,94,Moderate
P024,Shivajinagar,Commercial,230,108,198,High
P025,Shanthinagar,Commercial,220,100,185,High
P026,Ulsoor,Residential,128,51,104,Moderate
P027,CV_Raman_Nagar,Residential,132,54,107,Moderate
P028,Domlur,Commercial,215,98,178,High
P029,HAL,Industrial,255,128,215,Severe
P030,ITPL,Industrial,270,142,235,Severe
P031,HBR_Layout,Residential,125,49,98,Moderate
P032,RT_Nagar,Residential,130,53,102,Moderate
P033,KR_Puram,Traffic,265,138,228,Severe
P034,KR_Pete,Commercial,225,104,190,High
P035,Chickpet,Commercial,235,112,200,High
P036,Basavanagudi,Residential,120,48,95,Moderate
P037,JP_Nagar,Residential,140,58,115,Moderate
P038,Sarjapur_Road,Traffic,250,120,210,High
P039,HSR_Layout,Residential,135,55,110,Moderate
P040,Bellary_Road,Traffic,260,135,220,Severe
P041,Hebbal_Flyover,Traffic,275,150,245,Severe
P042,Koramangala,Commercial,210,96,175,High
P043,Indiranagar_100ft,Traffic,255,125,215,High
P044,Shivaji_Road,Commercial,230,110,198,High
P045,Sadashivanagar,Residential,118,46,94,Moderate
P046,Yeshwanthpur,Industrial,280,155,255,Severe
P047,Peenya_2nd,Industrial,290,160,260,Severe
P048,Magadi_Road,Traffic,245,120,210,High
P049,Mysore_Road,Traffic,260,135,220,Severe
P050,Rajarajeshwari,Residential,122,48,96,Moderate
P051,Kalyan_Nagar,Residential,128,50,102,Moderate
P052,Horamavu,Residential,132,52,106,Moderate
P053,Banaswadi,Residential,138,55,112,Moderate
P054,Kammanahalli,Commercial,220,100,185,High
P055,Richmond_Town,Commercial,215,98,178,High
P056,Langford_Town,Residential,125,49,99,Moderate
P057,Wilson_Garden,Residential,130,52,104,Moderate
P058,Gandhi_Bazaar,Commercial,225,105,192,High
P059,City_Market,Commercial,240,115,205,High
P060,Sheshadripuram,Residential,135,54,108,Moderate
P061,Devanahalli,Industrial,270,145,235,Severe
P062,Doddaballapur,Industrial,265,140,230,Severe
P063,Chandapura,Industrial,260,135,225,Severe
P064,Anekal,Industrial,255,130,220,High
P065,Attibele,Industrial,250,125,215,High
P066,Begur,Residential,120,47,95,Moderate
P067,Hulimavu,Residential,125,49,100,Moderate
P068,Arekere,Residential,130,52,105,Moderate
P069,Bommanahalli,Traffic,270,145,235,Severe
P070,Hosa_Road,Traffic,260,138,228,Severe
P071,Agara,Traffic,255,132,220,High
P072,St_Johns,Commercial,210,96,175,High
P073,Ashok_Nagar,Commercial,220,100,185,High
P074,Residency_Road,Commercial,230,108,195,High
P075,Cubbon_Park,Residential,90,30,70,Good
P076,Lalbagh,Residential,95,32,75,Good
P077,Jayamahal,Residential,110,44,90,Moderate
P078,Vasanth_Nagar,Commercial,205,95,170,High
P079,Palace_Road,Traffic,240,118,205,High
P080,Seshadri_Road,Commercial,215,98,180,High
P081,Museum_Road,Commercial,220,100,185,High
P082,Church_Street,Commercial,210,96,175,High
P083,MG_Road_2,Traffic,250,125,215,High
P084,UB_City,Commercial,200,90,165,Moderate
P085,Brigade_Road,Traffic,245,120,210,High
P086,Residency_Layout,Residential,118,46,94,Moderate
P087,Padmanabhanagar,Residential,122,48,97,Moderate
P088,Uttarahalli,Residential,125,50,100,Moderate
P089,Subramanyapura,Residential,128,52,103,Moderate
P090,Chikkalasandra,Residential,132,54,106,Moderate
P091,Kumaraswamy,Residential,135,55,108,Moderate
P092,Banashankari_6th,Residential,140,58,115,Moderate
P093,ISRO_Layout,Residential,118,46,95,Moderate
P094,RR_Nagar_2,Residential,120,48,96,Moderate
P095,Chandra_Layout,Residential,125,50,100,Moderate
P096,Vijayanagar_2,Residential,130,52,104,Moderate
P097,Kamakshipalya,Industrial,260,135,225,Severe
P098,Goraguntepalya,Industrial,275,148,240,Severe
P099,Yeswanthpur_Railway,Traffic,285,155,250,Severe
P100,Majestic_Bus_Stand,Traffic,290,160,260,Severe
