DrainID,Zone,DrainType,SensorStatus,BlockageLevel,WaterFlowRateLps,DistanceToJunctionKm,RepairCost
1,Zone-A,Underground,Active,Low,120,0.5,8000
2,Zone-A,Surface,Active,Medium,95,0.7,12000
3,Zone-A,Underground,Inactive,High,40,0.9,20000
4,Zone-A,Rainwater,Active,Low,130,1.1,7000
5,Zone-A,Surface,Inactive,High,30,1.3,22000
6,Zone-B,Underground,Active,Low,125,1.5,8500
7,Zone-B,Surface,Active,Medium,90,1.7,12500
8,Zone-B,Underground,Inactive,High,35,1.9,21000
9,Zone-B,Rainwater,Active,Low,135,2.1,7500
10,Zone-B,Surface,Inactive,High,28,2.3,23000
11,Zone-C,Underground,Active,Low,128,2.5,9000
12,Zone-C,Surface,Active,Medium,92,2.7,13000
13,Zone-C,Underground,Inactive,High,38,2.9,21500
14,Zone-C,Rainwater,Active,Low,140,3.1,7800
15,Zone-C,Surface,Inactive,High,32,3.3,23500
16,Zone-D,Underground,Active,Low,122,3.5,8200
17,Zone-D,Surface,Active,Medium,88,3.7,12800
18,Zone-D,Underground,Inactive,High,36,3.9,22000
19,Zone-D,Rainwater,Active,Low,138,4.1,7600
20,Zone-D,Surface,Inactive,High,29,4.3,24000
21,Zone-E,Underground,Active,Low,126,4.5,8800
22,Zone-E,Surface,Active,Medium,94,4.7,13200
23,Zone-E,Underground,Inactive,High,39,4.9,22500
24,Zone-E,Rainwater,Active,Low,142,5.1,7900
25,Zone-E,Surface,Inactive,High,33,5.3,24500
26,Zone-F,Underground,Active,Low,124,5.5,8600
27,Zone-F,Surface,Active,Medium,91,5.7,13500
28,Zone-F,Underground,Inactive,High,37,5.9,23000
29,Zone-F,Rainwater,Active,Low,145,6.1,8000
30,Zone-F,Surface,Inactive,High,31,6.3,25000
31,Zone-G,Underground,Active,Low,127,6.5,9000
32,Zone-G,Surface,Active,Medium,96,6.7,13800
33,Zone-G,Underground,Inactive,High,40,6.9,23500
34,Zone-G,Rainwater,Active,Low,148,7.1,8200
35,Zone-G,Surface,Inactive,High,34,7.3,25500
36,Zone-H,Underground,Active,Low,129,7.5,9200
37,Zone-H,Surface,Active,Medium,97,7.7,14000
38,Zone-H,Underground,Inactive,High,42,7.9,24000
39,Zone-H,Rainwater,Active,Low,150,8.1,8400
40,Zone-H,Surface,Inactive,High,36,8.3,26000
41,Zone-I,Underground,Active,Low,131,8.5,9400
42,Zone-I,Surface,Active,Medium,99,8.7,14200
43,Zone-I,Underground,Inactive,High,43,8.9,24500
44,Zone-I,Rainwater,Active,Low,152,9.1,8600
45,Zone-I,Surface,Inactive,High,37,9.3,26500
46,Zone-J,Underground,Active,Low,133,9.5,9600
47,Zone-J,Surface,Active,Medium,100,9.7,14500
48,Zone-J,Underground,Inactive,High,44,9.9,25000
49,Zone-J,Rainwater,Active,Low,155,10.1,8800
50,Zone-J,Surface,Inactive,High,38,10.3,27000
51,Zone-K,Underground,Active,Low,135,10.5,9800
52,Zone-K,Surface,Active,Medium,102,10.7,14800
53,Zone-K,Underground,Inactive,High,45,10.9,25500
54,Zone-K,Rainwater,Active,Low,158,11.1,9000
55,Zone-K,Surface,Inactive,High,40,11.3,27500
56,Zone-L,Underground,Active,Low,137,11.5,10000
57,Zone-L,Surface,Active,Medium,104,11.7,15000
58,Zone-L,Underground,Inactive,High,46,11.9,26000
59,Zone-L,Rainwater,Active,Low,160,12.1,9200
60,Zone-L,Surface,Inactive,High,41,12.3,28000
61,Zone-M,Underground,Active,Low,139,12.5,10200
62,Zone-M,Surface,Active,Medium,106,12.7,15200
63,Zone-M,Underground,Inactive,High,47,12.9,26500
64,Zone-M,Rainwater,Active,Low,162,13.1,9400
65,Zone-M,Surface,Inactive,High,42,13.3,28500
66,Zone-N,Underground,Active,Low,141,13.5,10400
67,Zone-N,Surface,Active,Medium,108,13.7,15500
68,Zone-N,Underground,Inactive,High,48,13.9,27000
69,Zone-N,Rainwater,Active,Low,165,14.1,9600
70,Zone-N,Surface,Inactive,High,44,14.3,29000
71,Zone-O,Underground,Active,Low,143,14.5,10600
72,Zone-O,Surface,Active,Medium,110,14.7,15800
73,Zone-O,Underground,Inactive,High,49,14.9,27500
74,Zone-O,Rainwater,Active,Low,168,15.1,9800
75,Zone-O,Surface,Inactive,High,45,15.3,29500
76,Zone-P,Underground,Active,Low,145,15.5,10800
77,Zone-P,Surface,Active,Medium,112,15.7,16000
78,Zone-P,Underground,Inactive,High,50,15.9,28000
79,Zone-P,Rainwater,Active,Low,170,16.1,10000
80,Zone-P,Surface,Inactive,High,46,16.3,30000
81,Zone-Q,Underground,Active,Low,147,16.5,11000
82,Zone-Q,Surface,Active,Medium,114,16.7,16200
83,Zone-Q,Underground,Inactive,High,51,16.9,28500
84,Zone-Q,Rainwater,Active,Low,172,17.1,10200
85,Zone-Q,Surface,Inactive,High,48,17.3,30500
86,Zone-R,Underground,Active,Low,149,17.5,11200
87,Zone-R,Surface,Active,Medium,116,17.7,16500
88,Zone-R,Underground,Inactive,High,52,17.9,29000
89,Zone-R,Rainwater,Active,Low,175,18.1,10400
90,Zone-R,Surface,Inactive,High,49,18.3,31000
91,Zone-S,Underground,Active,Low,151,18.5,11400
92,Zone-S,Surface,Active,Medium,118,18.7,16800
93,Zone-S,Underground,Inactive,High,53,18.9,29500
94,Zone-S,Rainwater,Active,Low,178,19.1,10600
95,Zone-S,Surface,Inactive,High,50,19.3,31500
96,Zone-T,Underground,Active,Low,153,19.5,11600
97,Zone-T,Surface,Active,Medium,120,19.7,17000
98,Zone-T,Underground,Inactive,High,54,19.9,30000
99,Zone-T,Rainwater,Active,Low,180,20.1,10800
100,Zone-T,Surface,Inactive,High,52,20.3,32000
