Customer_ID,Energy_Unit,Connection_Cost,Energy_Usage_kWh
1,Solar_1,1200,350
2,Wind_1,1500,420
3,Solar_2,1000,300
4,Wind_2,1800,500
5,Solar_3,1400,380
6,Wind_3,1600,450
7,Solar_4,1300,360
8,Wind_4,1700,480
9,Solar_5,1100,320
10,Wind_5,1900,520
11,Solar_6,1250,340
12,Wind_6,1550,430
13,Solar_7,1050,310
14,Wind_7,1750,490
15,Solar_8,1450,390
16,Wind_8,1650,460
17,Solar_9,1350,370
18,Wind_9,1850,510
19,Solar_10,1150,330
20,Wind_10,1950,530
21,Solar_1,1300,360
22,Wind_1,1600,450
23,Solar_2,1100,320
24,Wind_2,1900,520
25,Solar_3,1500,400
26,Wind_3,1700,470
27,Solar_4,1400,380
28,Wind_4,1800,500
29,Solar_5,1200,340
30,Wind_5,2000,550
31,Solar_6,1350,370
32,Wind_6,1650,460
33,Solar_7,1150,330
34,Wind_7,1850,510
35,Solar_8,1550,420
36,Wind_8,1750,480
37,Solar_9,1450,390
38,Wind_9,1950,540
39,Solar_10,1250,350
40,Wind_10,2050,560
41,Solar_1,1400,380
42,Wind_1,1700,470
43,Solar_2,1200,340
44,Wind_2,2000,550
45,Solar_3,1600,430
46,Wind_3,1800,500
47,Solar_4,1500,400
48,Wind_4,1900,520
49,Solar_5,1300,360
50,Wind_5,2100,580
51,Solar_6,1450,390
52,Wind_6,1750,480
53,Solar_7,1250,350
54,Wind_7,1950,540
55,Solar_8,1650,450
56,Wind_8,1850,510
57,Solar_9,1550,420
58,Wind_9,2050,570
59,Solar_10,1350,370
60,Wind_10,2150,590
61,Solar_1,1500,400
62,Wind_1,1800,500
63,Solar_2,1300,360
64,Wind_2,2100,580
65,Solar_3,1700,460
66,Wind_3,1900,520
67,Solar_4,1600,430
68,Wind_4,2000,550
69,Solar_5,1400,380
70,Wind_5,2200,600
71,Solar_6,1550,420
72,Wind_6,1850,510
73,Solar_7,1350,370
74,Wind_7,2050,570
75,Solar_8,1750,480
76,Wind_8,1950,540
77,Solar_9,1650,450
78,Wind_9,2150,590
79,Solar_10,1450,390
80,Wind_10,2250,610
81,Solar_1,1600,430
82,Wind_1,1900,520
83,Solar_2,1400,380
84,Wind_2,2200,600
85,Solar_3,1800,490
86,Wind_3,2000,550
87,Solar_4,1700,460
88,Wind_4,2100,580
89,Solar_5,1500,400
90,Wind_5,2300,630
91,Solar_6,1650,450
92,Wind_6,1950,540
93,Solar_7,1450,390
94,Wind_7,2150,590
95,Solar_8,1850,510
96,Wind_8,2050,570
97,Solar_9,1750,480
98,Wind_9,2250,620
99,Solar_10,1550,420
100,Wind_10,2350,650
