DroneID,Source,Destination,Altitude_m,Distance_km,WindLevel,Payload_kg,Priority,ScanArea_sqkm
D1,Central Hub,Hospital A,120,4.2,Low,2.5,High,0.8
D2,Central Hub,Clinic B,110,3.8,Low,1.2,High,0.6
D3,Central Hub,Pharmacy C,130,5.1,Medium,1.8,High,0.9
D4,Warehouse A,Construction Site 1,150,6.4,Medium,3.0,Medium,1.4
D5,Warehouse A,Farm Zone 1,160,7.2,Low,2.6,Medium,1.8
D6,Warehouse B,Farm Zone 2,155,6.8,Low,2.4,Medium,1.6
D7,Warehouse B,Survey Area A,170,8.1,Medium,1.0,Low,2.2
D8,Central Hub,Emergency Center,140,3.2,Low,1.5,High,0.5
D9,Central Hub,Police Station,135,3.6,Low,1.4,High,0.6
D10,Central Hub,Fire Station,145,3.9,Low,1.6,High,0.7
D11,Mapping Hub,Construction Site 2,180,9.4,Medium,0.8,Low,2.6
D12,Mapping Hub,Highway Stretch A,190,10.1,High,0.7,Low,3.0
D13,Mapping Hub,River Bank Area,175,8.7,Medium,0.9,Low,2.4
D14,Central Hub,Apartment Block A,120,4.0,Low,2.2,High,0.7
D15,Central Hub,Apartment Block B,125,4.3,Low,2.1,High,0.7
D16,Central Hub,Apartment Block C,130,4.6,Medium,2.0,High,0.8
D17,Warehouse C,Industrial Zone A,165,7.8,Medium,3.4,Medium,1.9
D18,Warehouse C,Industrial Zone B,170,8.2,High,3.6,Medium,2.0
D19,Warehouse C,Industrial Zone C,168,8.0,Medium,3.2,Medium,1.9
D20,Mapping Hub,Mining Area,200,11.5,High,0.6,Low,3.4
D21,Central Hub,School A,115,3.5,Low,1.1,Medium,0.5
D22,Central Hub,School B,118,3.7,Low,1.2,Medium,0.5
D23,Central Hub,College Campus,130,4.9,Medium,1.6,Medium,0.9
D24,Warehouse A,Rural Clinic A,160,7.4,Medium,2.3,High,1.2
D25,Warehouse A,Rural Clinic B,162,7.6,Medium,2.4,High,1.2
D26,Warehouse A,Rural Clinic C,165,7.9,Medium,2.5,High,1.3
D27,Mapping Hub,Forest Edge A,185,9.8,High,0.7,Low,2.8
D28,Mapping Hub,Forest Edge B,188,10.0,High,0.7,Low,2.9
D29,Mapping Hub,Forest Edge C,190,10.3,High,0.8,Low,3.0
D30,Central Hub,Blood Bank,125,3.9,Low,1.3,High,0.6
D31,Central Hub,Diagnostic Lab,128,4.1,Low,1.4,High,0.6
D32,Central Hub,Medical Store A,130,4.3,Low,1.5,High,0.7
D33,Warehouse B,Cold Storage A,155,6.7,Medium,2.8,Medium,1.5
D34,Warehouse B,Cold Storage B,158,6.9,Medium,2.9,Medium,1.5
D35,Warehouse B,Cold Storage C,160,7.1,Medium,3.0,Medium,1.6
D36,Mapping Hub,Canal Route A,175,8.9,Medium,0.8,Low,2.5
D37,Mapping Hub,Canal Route B,178,9.2,Medium,0.9,Low,2.6
D38,Mapping Hub,Canal Route C,180,9.5,Medium,0.9,Low,2.7
D39,Central Hub,Event Ground A,135,4.8,Low,1.7,Medium,0.8
D40,Central Hub,Event Ground B,138,5.0,Low,1.8,Medium,0.8
D41,Central Hub,Event Ground C,140,5.2,Medium,1.9,Medium,0.9
D42,Warehouse C,Power Substation A,170,8.4,High,3.1,Medium,1.9
