PetID,PetName,AnimalType,OwnerID,Area,GPS_Node,HealthStatus,Vaccinated,LastCheckup
P001,Buddy,Dog,O101,ZoneA,0,Healthy,Yes,2024-01-10
P002,Max,Dog,O102,ZoneB,3,Healthy,Yes,2024-01-12
P003,Bella,Cat,O103,ZoneC,5,Healthy,Yes,2024-01-15
P004,Luna,Cat,O104,ZoneD,7,Sick,No,2024-01-05
P005,Rocky,Dog,O105,ZoneA,2,Healthy,Yes,2024-01-18
P006,Charlie,Dog,O106,ZoneB,4,Healthy,Yes,2024-01-20
P007,Milo,Cat,O107,ZoneC,6,Healthy,Yes,2024-01-22
P008,Coco,Bird,O108,ZoneD,8,Healthy,Yes,2024-01-25
P009,Lucy,Dog,O109,ZoneA,1,Sick,No,2024-01-08
P010,Leo,Cat,O110,ZoneB,3,Healthy,Yes,2024-01-14
P011,Bailey,Dog,O111,ZoneC,5,Healthy,Yes,2024-01-17
P012,Daisy,Dog,O112,ZoneD,7,Healthy,Yes,2024-01-19
P013,Oscar,Cat,O113,ZoneA,2,Healthy,Yes,2024-01-21
P014,Simba,Cat,O114,ZoneB,4,Sick,No,2024-01-09
P015,Toby,Dog,O115,ZoneC,6,Healthy,Yes,2024-01-23
P016,Nala,Cat,O116,ZoneD,8,Healthy,Yes,2024-01-26
P017,Jack,Dog,O117,ZoneA,1,Healthy,Yes,2024-01-11
P018,Oliver,Cat,O118,ZoneB,3,Healthy,Yes,2024-01-13
P019,Ruby,Dog,O119,ZoneC,5,Sick,No,2024-01-06
P020,Lily,Cat,O120,ZoneD,7,Healthy,Yes,2024-01-16
P021,Zeus,Dog,O121,ZoneA,2,Healthy,Yes,2024-01-18
P022,Shadow,Cat,O122,ZoneB,4,Healthy,Yes,2024-01-20
P023,Bruno,Dog,O123,ZoneC,6,Healthy,Yes,2024-01-22
P024,Chloe,Cat,O124,ZoneD,8,Sick,No,2024-01-07
P025,Buster,Dog,O125,ZoneA,1,Healthy,Yes,2024-01-24
P026,Misty,Cat,O126,ZoneB,3,Healthy,Yes,2024-01-25
P027,Cooper,Dog,O127,ZoneC,5,Healthy,Yes,2024-01-26
P028,Pepper,Bird,O128,ZoneD,7,Healthy,Yes,2024-01-27
P029,Rex,Dog,O129,ZoneA,2,Sick,No,2024-01-05
P030,Snowy,Cat,O130,ZoneB,4,Healthy,Yes,2024-01-15
P031,Hunter,Dog,O131,ZoneC,6,Healthy,Yes,2024-01-17
P032,Kitty,Cat,O132,ZoneD,8,Healthy,Yes,2024-01-19
P033,Thor,Dog,O133,ZoneA,1,Healthy,Yes,2024-01-21
P034,Angel,Cat,O134,ZoneB,3,Sick,No,2024-01-08
P035,Spike,Dog,O135,ZoneC,5,Healthy,Yes,2024-01-22
P036,Loki,Cat,O136,ZoneD,7,Healthy,Yes,2024-01-24
P037,Brownie,Dog,O137,ZoneA,2,Healthy,Yes,2024-01-25
P038,Penny,Cat,O138,ZoneB,4,Healthy,Yes,2024-01-26
P039,Tyson,Dog,O139,ZoneC,6,Sick,No,2024-01-09
P040,Fluffy,Cat,O140,ZoneD,8,Healthy,Yes,2024-01-14
P041,Sam,Dog,O141,ZoneA,1,Healthy,Yes,2024-01-16
P042,Mochi,Cat,O142,ZoneB,3,Healthy,Yes,2024-01-18
P043,Bandit,Dog,O143,ZoneC,5,Healthy,Yes,2024-01-20
P044,Ginger,Cat,O144,ZoneD,7,Sick,No,2024-01-06
P045,King,Dog,O145,ZoneA,2,Healthy,Yes,2024-01-23
P046,Mimi,Cat,O146,ZoneB,4,Healthy,Yes,2024-01-25
P047,Duke,Dog,O147,ZoneC,6,Healthy,Yes,2024-01-27
P048,Lola,Cat,O148,ZoneD,8,Healthy,Yes,2024-01-28
P049,Rambo,Dog,O149,ZoneA,1,Sick,No,2024-01-10
P050,Tiger,Cat,O150,ZoneB,3,Healthy,Yes,2024-01-15
P051,Benny,Dog,O151,ZoneC,5,Healthy,Yes,2024-01-17
P052,Sasha,Cat,O152,ZoneD,7,Healthy,Yes,2024-01-19
P053,Rocko,Dog,O153,ZoneA,2,Healthy,Yes,2024-01-21
P054,Mittens,Cat,O154,ZoneB,4,Sick,No,2024-01-08
P055,Bolt,Dog,O155,ZoneC,6,Healthy,Yes,2024-01-22
P056,Cleo,Cat,O156,ZoneD,8,Healthy,Yes,2024-01-24
P057,ShadowDog,Dog,O157,ZoneA,1,Healthy,Yes,2024-01-25
P058,Whiskers,Cat,O158,ZoneB,3,Healthy,Yes,2024-01-26
P059,Brutus,Dog,O159,ZoneC,5,Sick,No,2024-01-09
P060,KitKat,Cat,O160,ZoneD,7,Healthy,Yes,2024-01-14
P061,Rexy,Dog,O161,ZoneA,2,Healthy,Yes,2024-01-16
P062,Snowball,Cat,O162,ZoneB,4,Healthy,Yes,2024-01-18
P063,LeoDog,Dog,O163,ZoneC,6,Healthy,Yes,2024-01-20
P064,Moon,Cat,O164,ZoneD,8,Sick,No,2024-01-06
P065,OscarDog,Dog,O165,ZoneA,1,Healthy,Yes,2024-01-23
P066,Poppy,Cat,O166,ZoneB,3,Healthy,Yes,2024-01-25
P067,Tyke,Dog,O167,ZoneC,5,Healthy,Yes,2024-01-27
P068,Nina,Cat,O168,ZoneD,7,Healthy,Yes,2024-01-28
P069,Hulk,Dog,O169,ZoneA,2,Sick,No,2024-01-10
P070,Mia,Cat,O170,ZoneB,4,Healthy,Yes,2024-01-15
P071,Rocky2,Dog,O171,ZoneC,6,Healthy,Yes,2024-01-17
P072,Elsa,Cat,O172,ZoneD,8,Healthy,Yes,2024-01-19
P073,Tommy,Dog,O173,ZoneA,1,Healthy,Yes,2024-01-21
P074,Smokey,Cat,O174,ZoneB,3,Sick,No,2024-01-08
P075,Buddy2,Dog,O175,ZoneC,5,Healthy,Yes,2024-01-22
P076,LillyCat,Cat,O176,ZoneD,7,Healthy,Yes,2024-01-24
