StationID,StationName,Area,Ecycles,Escooters,Latitude,Longitude,DailyTrips
1,CentralSquare,CityCenter,20,15,12.9716,77.5946,320
2,MetroGate,TransportHub,18,20,12.9750,77.5990,410
3,TechPark,ITZone,25,30,12.9875,77.6250,520
4,UniversityRoad,EducationZone,22,18,12.9352,77.6245,300
5,MarketCircle,Commercial,15,12,12.9634,77.5805,260
6,BusTerminal,TransportHub,30,35,12.9587,77.5721,610
7,RiverSide,Recreation,12,10,12.9500,77.5900,180
8,CityMall,Commercial,20,22,12.9690,77.6100,390
9,IndustrialGate,Industrial,18,14,12.9980,77.5400,240
10,AirportLink,TransportHub,28,32,13.0200,77.6500,560
11,GreenPark,Residential,14,12,12.9300,77.5800,190
12,LakeView,Recreation,16,14,12.9200,77.6000,210
13,HospitalZone,Medical,22,20,12.9450,77.6200,360
14,OldTown,Residential,10,8,12.9400,77.5600,150
15,RailwayCross,TransportHub,26,28,12.9550,77.5900,480
16,CityLibrary,EducationZone,12,10,12.9650,77.5750,170
17,SportsComplex,Recreation,18,16,12.9800,77.5850,260
18,StartupStreet,ITZone,24,26,12.9850,77.6200,450
19,MuseumRoad,Tourism,14,12,12.9700,77.5600,220
20,ConventionCenter,Commercial,20,18,12.9755,77.6050,330
21,MetroEast,TransportHub,22,24,12.9900,77.6300,420
22,MetroWest,TransportHub,20,22,12.9500,77.5500,400
23,MetroNorth,TransportHub,24,26,13.0100,77.6000,480
24,MetroSouth,TransportHub,18,20,12.9100,77.5800,350
25,CityPlaza,Commercial,21,19,12.9680,77.5980,370
26,FoodStreet,Commercial,15,14,12.9655,77.5700,290
27,TechValley,ITZone,28,30,12.9900,77.6400,550
28,SciencePark,EducationZone,20,18,12.9750,77.6150,310
29,ArtDistrict,Cultural,14,12,12.9600,77.5650,200
30,NorthGate,Residential,16,14,13.0000,77.5900,230
31,SouthGate,Residential,15,13,12.9000,77.5700,210
32,EastGate,Residential,17,15,12.9800,77.6500,240
33,WestGate,Residential,16,14,12.9600,77.5400,220
34,ITCircle,ITZone,26,28,12.9950,77.6300,500
35,BusinessBay,Commercial,22,20,12.9700,77.6150,380
36,GreenAvenue,Residential,14,12,12.9400,77.5900,190
37,CentralPark,Recreation,18,16,12.9650,77.6000,270
38,HeritageSquare,Tourism,13,11,12.9550,77.5550,180
39,StartupHub,ITZone,25,27,12.9850,77.6350,470
40,CityCourt,Government,12,10,12.9600,77.5850,160
41,PublicOffice,Government,14,12,12.9700,77.5900,180
42,TechBridge,ITZone,27,29,12.9900,77.6450,530
43,GreenField,Residential,15,13,12.9250,77.5850,200
44,RiverCross,Recreation,14,12,12.9480,77.5950,190
45,HealthCampus,Medical,23,21,12.9400,77.6200,360
46,CityDepot,TransportHub,30,34,12.9550,77.5750,600
47,LogisticsPark,Industrial,20,18,12.9950,77.5550,280
48,WarehouseRoad,Industrial,18,16,13.0050,77.5600,250
49,InnovationSquare,ITZone,26,28,12.9850,77.6250,490
50,UrbanVillage,Residential,15,13,12.9350,77.5650,210
51,MetroCentral,TransportHub,28,30,12.9700,77.6000,520
52,MetroLinkEast,TransportHub,22,24,12.9900,77.6600,430
53,MetroLinkWest,TransportHub,21,23,12.9600,77.5300,410
54,MetroLinkNorth,TransportHub,24,26,13.0200,77.5900,460
55,MetroLinkSouth,TransportHub,20,22,12.8900,77.5700,390
56,CityGarden,Recreation,16,14,12.9550,77.6050,240
57,LakeFront,Recreation,18,16,12.9300,77.6100,260
58,TechPoint,ITZone,27,29,12.9950,77.6350,510
59,FinanceStreet,Commercial,22,20,12.9650,77.6100,360
60,TradeCenter,Commercial,24,22,12.9750,77.6200,400
61,GreenHeights,Residential,14,12,12.9250,77.5750,190
62,CityArena,Sports,20,18,12.9600,77.6000,320
63,EventSquare,Cultural,18,16,12.9700,77.5850,290
64,DigitalPark,ITZone,26,28,12.9900,77.6400,520
65,UrbanEdge,Residential,15,13,12.9050,77.5650,200
66,ScienceHub,EducationZone,22,20,12.9750,77.6150,330
67,InnovationPark,ITZone,28,30,13.0000,77.6450,560
68,OldMarket,Commercial,14,12,12.9600,77.5550,230
69,NewMarket,Commercial,18,16,12.9750,77.5950,300
70,CentralDepot,TransportHub,32,36,12.9650,77.5850,650
71,RiverPoint,Recreation,16,14,12.9450,77.5950,220
72,GreenCircle,Residential,15,13,12.9350,77.5850,210
73,TechGate,ITZone,26,28,12.9950,77.6500,520
74,NorthPlaza,Commercial,20,18,13.0100,77.6000,340
75,SouthPlaza,Commercial,18,16,12.9000,77.5750,310
76,EastPlaza,Commercial,19,17,12.9850,77.6550,330
77,WestPlaza,Commercial,17,15,12.9600,77.5250,300
78,HealthPoint,Medical,22,20,12.9400,77.6150,350
79,CityLabs,EducationZone,20,18,12.9750,77.6200,320
80,UrbanCore,CityCenter,24,22,12.9700,77.5950,420
81,MetroHubAlpha,TransportHub,28,30,12.9650,77.6050,540
82,MetroHubBeta,TransportHub,26,28,12.9550,77.5850,510
83,MetroHubGamma,TransportHub,24,26,12.9850,77.6250,480
84,MetroHubDelta,TransportHub,22,24,12.9450,77.5650,450
85,MetroHubOmega,TransportHub,30,34,12.9750,77.6000,620
86,UrbanLoop,Residential,16,14,12.9350,77.5700,220
87,GreenNode,Residential,15,13,12.9250,77.5800,210
88,TechNode,ITZone,27,29,12.9950,77.6400,530
89,MarketNode,Commercial,18,16,12.9650,77.5600,280
90,TransitNode,TransportHub,29,33,12.9600,77.5900,590
91,CityRingNorth,Residential,17,15,13.0150,77.5900,240
92,CityRingSouth,Residential,16,14,12.8900,77.5650,230
93,CityRingEast,Residential,18,16,12.9900,77.6600,260
94,CityRingWest,Residential,17,15,12.9600,77.5200,250
95,GreenTransit,TransportHub,25,27,12.9550,77.5950,470
