ShopID,ShopType,OwnerAge,UPIEnabled,MonthlyTransactions,TransactionAmountINR,LoanStatus,DigitalScore
1,Grocery,32,Yes,120,45000,No,78
2,TeaStall,45,Yes,80,18000,Yes,65
3,Medical,38,Yes,200,72000,No,85
4,Clothing,29,Yes,150,56000,No,82
5,Vegetable,50,No,40,9000,Yes,55
6,Electronics,34,Yes,220,98000,No,88
7,Salon,28,Yes,110,36000,No,76
8,Bakery,41,Yes,95,31000,Yes,70
9,BookStore,37,Yes,130,48000,No,80
10,RepairShop,52,No,35,12000,Yes,50
11,Grocery,33,Yes,140,52000,No,81
12,TeaStall,47,Yes,85,19500,Yes,66
13,Medical,40,Yes,210,76000,No,86
14,Clothing,31,Yes,155,59000,No,83
15,Vegetable,54,No,42,9500,Yes,56
16,Electronics,36,Yes,230,102000,No,89
17,Salon,30,Yes,115,39000,No,77
18,Bakery,43,Yes,100,33000,Yes,71
19,BookStore,39,Yes,135,50000,No,81
20,RepairShop,55,No,38,13500,Yes,52
21,Grocery,34,Yes,145,54000,No,82
22,TeaStall,48,Yes,90,21000,Yes,67
23,Medical,42,Yes,220,80000,No,87
24,Clothing,32,Yes,160,61000,No,84
25,Vegetable,56,No,45,10000,Yes,57
26,Electronics,37,Yes,240,105000,No,90
27,Salon,31,Yes,120,42000,No,78
28,Bakery,45,Yes,105,35000,Yes,72
29,BookStore,41,Yes,140,52000,No,82
30,RepairShop,57,No,40,15000,Yes,54
31,Grocery,35,Yes,150,56000,No,83
32,TeaStall,49,Yes,95,22500,Yes,68
33,Medical,43,Yes,230,84000,No,88
34,Clothing,33,Yes,165,63000,No,85
35,Vegetable,58,No,48,11000,Yes,58
36,Electronics,38,Yes,250,108000,No,91
37,Salon,32,Yes,125,45000,No,79
38,Bakery,46,Yes,110,37000,Yes,73
39,BookStore,42,Yes,145,54000,No,83
40,RepairShop,59,No,42,16500,Yes,55
41,Grocery,36,Yes,155,58000,No,84
42,TeaStall,50,Yes,100,24000,Yes,69
43,Medical,44,Yes,240,88000,No,89
44,Clothing,34,Yes,170,65000,No,86
45,Vegetable,60,No,50,12000,Yes,59
46,Electronics,39,Yes,260,112000,No,92
47,Salon,33,Yes,130,48000,No,80
48,Bakery,47,Yes,115,39000,Yes,74
49,BookStore,43,Yes,150,56000,No,84
50,RepairShop,60,No,45,18000,Yes,56
51,Grocery,37,Yes,160,60000,No,85
52,TeaStall,51,Yes,105,25500,Yes,70
53,Medical,45,Yes,250,92000,No,90
54,Clothing,35,Yes,175,67000,No,87
55,Vegetable,61,No,52,13000,Yes,60
56,Electronics,40,Yes,270,116000,No,93
57,Salon,34,Yes,135,51000,No,81
58,Bakery,48,Yes,120,41000,Yes,75
59,BookStore,44,Yes,155,58000,No,85
60,RepairShop,61,No,48,19500,Yes,57
61,Grocery,38,Yes,165,62000,No,86
62,TeaStall,52,Yes,110,27000,Yes,71
63,Medical,46,Yes,260,96000,No,91
64,Clothing,36,Yes,180,69000,No,88
65,Vegetable,62,No,55,14000,Yes,61
66,Electronics,41,Yes,280,120000,No,94
67,Salon,35,Yes,140,54000,No,82
68,Bakery,49,Yes,125,43000,Yes,76
69,BookStore,45,Yes,160,60000,No,86
70,RepairShop,62,No,50,21000,Yes,58
71,Grocery,39,Yes,170,64000,No,87
72,TeaStall,53,Yes,115,28500,Yes,72
73,Medical,47,Yes,270,100000,No,92
74,Clothing,37,Yes,185,71000,No,89
75,Vegetable,63,No,58,15000,Yes,62
76,Electronics,42,Yes,290,124000,No,95
77,Salon,36,Yes,145,57000,No,83
78,Bakery,50,Yes,130,45000,Yes,77
79,BookStore,46,Yes,165,62000,No,87
80,RepairShop,63,No,52,22500,Yes,59
81,Grocery,40,Yes,175,66000,No,88
82,TeaStall,54,Yes,120,30000,Yes,73
83,Medical,48,Yes,280,104000,No,93
84,Clothing,38,Yes,190,73000,No,90
85,Vegetable,64,No,60,16000,Yes,63
86,Electronics,43,Yes,300,128000,No,96
87,Salon,37,Yes,150,60000,No,84
88,Bakery,51,Yes,135,47000,Yes,78
89,BookStore,47,Yes,170,64000,No,88
90,RepairShop,64,No,55,24000,Yes,60
91,Grocery,41,Yes,180,68000,No,89
92,TeaStall,55,Yes,125,31500,Yes,74
93,Medical,49,Yes,290,108000,No,94
94,Clothing,39,Yes,195,75000,No,91
95,Vegetable,65,No,62,17000,Yes,64
96,Electronics,44,Yes,310,132000,No,97
97,Salon,38,Yes,155,63000,No,85
98,Bakery,52,Yes,140,49000,Yes,79
99,BookStore,48,Yes,175,66000,No,89
100,RepairShop,65,No,58,25500,Yes,61
